,,,index,comp1,comp2,P,a,a12,b12,a21,b21,comp1_antoine1,comp1_antoine2,comp1_antoine5,comp1_antoine6,comp1_antoine7,comp2_antoine1,comp2_antoine2,comp2_antoine5,comp2_antoine6,comp2_antoine7
n-butanol,2-butanol,0,63,n-butanol,2-butanol,101300,0.3,8.6503,-2244.355,-5.7954,1514.0806,94.77707454,-9866.4,-11.655,1.08E-17,6,111.0370745,-10236,-14.125,2.36E-17,6
n-butanol,isobutanol,0,64,n-butanol,isobutanol,101300,0.3,5.6491,-1817.5627,-5.7751,1959.3755,94.77707454,-9866.4,-11.655,1.08E-17,6,110.2670745,-10504,-13.921,1.69E-17,6
n-butanol,tert-butanol,0,65,n-butanol,tert-butanol,101300,0.3,-0.3421,-176.2187,1.278,-134.8014,94.77707454,-9866.4,-11.655,1.08E-17,6,160.7570745,-11589,-22.113,1.37E-05,2
n-butanol,1-pentanol,0,66,n-butanol,1-pentanol,101300,0.3,0,184.008992,0,-179.61475,94.77707454,-9866.4,-11.655,1.08E-17,6,103.2370745,-10643,-12.858,1.25E-17,6
n-butanol,benzene,0,67,n-butanol,benzene,101300,0.3,-0.9781,323.8605,0.0504,519.5833,94.77707454,-9866.4,-11.655,1.08E-17,6,71.59407454,-6486.2,-9.2194,6.98E-06,2
n-butanol,toluene,1,68,n-butanol,toluene,101300,0.3,2.5134,-804.1963,-5.2748,2326.4126,94.77707454,-9866.4,-11.655,1.08E-17,6,65.43207454,-6729.8,-8.179,5.30E-06,2
n-butanol,acetone,0,69,n-butanol,acetone,101300,0.3,10.2979,-3326.5381,-8.8875,3077.281,94.77707454,-9866.4,-11.655,1.08E-17,6,46.43407454,-5355.3,-5.2106,1.24E-14,5
n-butanol,methyl-acetate,0,70,n-butanol,methyl-acetate,101300,0.3,-6.8907,2244.3872,7.4512,-2197.7412,94.77707454,-9866.4,-11.655,1.08E-17,6,49.75407454,-5618.6,-5.6473,2.11E-17,6
n-butanol,ethyl-acetate,0,71,n-butanol,ethyl-acetate,101300,0.3,0,28.4887,0,206.8239,94.77707454,-9866.4,-11.655,1.08E-17,6,55.31107454,-6227.6,-6.41,1.79E-17,6
n-butanol,ethylene-glycol,0,72,n-butanol,ethylene-glycol,101300,0.3,1.2179,6.2685,5.3999,-1947.4628,94.77707454,-9866.4,-11.655,1.08E-17,6,80.08107454,-10811,-9.2821,3.02E-18,6
n-butanol,12-propanediol,0,73,n-butanol,12-propanediol,101300,0.3,-3.6222,1210.4832,4.0561,-996.3604,94.77707454,-9866.4,-11.655,1.08E-17,6,123.9770745,-12483,-16.019,6.46E-06,2
2-butanol,isobutanol,0,74,2-butanol,isobutanol,101300,0.3,0,181.821,0,-198.7885,111.0370745,-10236,-14.125,2.36E-17,6,110.2670745,-10504,-13.921,1.69E-17,6
2-butanol,tert-butanol,0,75,2-butanol,tert-butanol,101300,0.3,0,281.8595,0,-293.2844,111.0370745,-10236,-14.125,2.36E-17,6,160.7570745,-11589,-22.113,1.37E-05,2
2-butanol,benzene,1,76,2-butanol,benzene,101300,0.3,-1.0005,313.3977,-0.6405,737.3159,111.0370745,-10236,-14.125,2.36E-17,6,71.59407454,-6486.2,-9.2194,6.98E-06,2
2-butanol,toluene,1,77,2-butanol,toluene,101300,0.3,0,32.5483,0,460.9096,111.0370745,-10236,-14.125,2.36E-17,6,65.43207454,-6729.8,-8.179,5.30E-06,2
isobutanol,tert-butanol,0,78,isobutanol,tert-butanol,101300,0.3,-0.189,-127.6239,0.3543,60.5553,110.2670745,-10504,-13.921,1.69E-17,6,160.7570745,-11589,-22.113,1.37E-05,2
isobutanol,1-pentanol,0,79,isobutanol,1-pentanol,101300,0.3,-3.3606,1671.8795,1.0371,-697.606,110.2670745,-10504,-13.921,1.69E-17,6,103.2370745,-10643,-12.858,1.25E-17,6
isobutanol,benzene,1,80,isobutanol,benzene,101300,0.3,8.803,-3221.9172,-14.3289,5746.9707,110.2670745,-10504,-13.921,1.69E-17,6,71.59407454,-6486.2,-9.2194,6.98E-06,2
isobutanol,toluene,1,81,isobutanol,toluene,101300,0.3,-2.869,1117.0677,1.4856,-113.0791,110.2670745,-10504,-13.921,1.69E-17,6,65.43207454,-6729.8,-8.179,5.30E-06,2
isobutanol,acetone,0,82,isobutanol,acetone,101300,0.3,17.7379,-5933.48,-12.4602,4229.6074,110.2670745,-10504,-13.921,1.69E-17,6,46.43407454,-5355.3,-5.2106,1.24E-14,5
isobutanol,ethylene-glycol,0,83,isobutanol,ethylene-glycol,101300,0.3,-13.7595,5533.2783,22.1135,-8462.083,110.2670745,-10504,-13.921,1.69E-17,6,80.08107454,-10811,-9.2821,3.02E-18,6
isobutanol,12-propanediol,0,84,isobutanol,12-propanediol,101300,0.3,9.8016,-3354.9895,-0.1937,-114.9765,110.2670745,-10504,-13.921,1.69E-17,6,123.9770745,-12483,-16.019,6.46E-06,2
tert-butanol,1-pentanol,0,85,tert-butanol,1-pentanol,101300,0.3,0,-110.5526,0,39.2354,160.7570745,-11589,-22.113,1.37E-05,2,103.2370745,-10643,-12.858,1.25E-17,6
tert-butanol,benzene,1,86,tert-butanol,benzene,101300,0.3,-0.2129,93.7922,-1.9667,1112.5677,160.7570745,-11589,-22.113,1.37E-05,2,71.59407454,-6486.2,-9.2194,6.98E-06,2
tert-butanol,toluene,1,87,tert-butanol,toluene,101300,0.3,4.8548,-1524.6605,-4.9767,2025.913,160.7570745,-11589,-22.113,1.37E-05,2,65.43207454,-6729.8,-8.179,5.30E-06,2
tert-butanol,acetone,0,88,tert-butanol,acetone,101300,0.3,0,-179.8478,0,354.6426,160.7570745,-11589,-22.113,1.37E-05,2,46.43407454,-5355.3,-5.2106,1.24E-14,5
1-pentanol,toluene,1,89,1-pentanol,toluene,101300,0.3,0,-70.3097,0,562.7081,103.2370745,-10643,-12.858,1.25E-17,6,65.43207454,-6729.8,-8.179,5.30E-06,2
1-pentanol,ethylene-glycol,0,90,1-pentanol,ethylene-glycol,101300,0.3,0,40.3957,0,565.0892,103.2370745,-10643,-12.858,1.25E-17,6,80.08107454,-10811,-9.2821,3.02E-18,6
1-pentanol,12-propanediol,0,91,1-pentanol,12-propanediol,101300,0.3,0,-42.243,0,421.0699,103.2370745,-10643,-12.858,1.25E-17,6,123.9770745,-12483,-16.019,6.46E-06,2
benzene,toluene,0,92,benzene,toluene,101300,0.3,-2.8852,1123.9501,2.1911,-863.7308,71.59407454,-6486.2,-9.2194,6.98E-06,2,65.43207454,-6729.8,-8.179,5.30E-06,2
benzene,acetone,0,93,benzene,acetone,101300,0.3,0.4224,-239.9009,-0.1015,306.0663,71.59407454,-6486.2,-9.2194,6.98E-06,2,46.43407454,-5355.3,-5.2106,1.24E-14,5
benzene,ethyl-formate,0,94,benzene,ethyl-formate,101300,0.3,0,135.8499,0,-14.5451,71.59407454,-6486.2,-9.2194,6.98E-06,2,62.32007454,-5817,-7.809,6.32E-06,2
benzene,methyl-acetate,0,95,benzene,methyl-acetate,101300,0.3,0.2462,-232.3528,-0.6236,580.9733,71.59407454,-6486.2,-9.2194,6.98E-06,2,49.75407454,-5618.6,-5.6473,2.11E-17,6
benzene,ethyl-acetate,0,96,benzene,ethyl-acetate,101300,0.3,12.3388,-4226.251,-8.9003,3056.4792,71.59407454,-6486.2,-9.2194,6.98E-06,2,55.31107454,-6227.6,-6.41,1.79E-17,6
toluene,acetone,0,97,toluene,acetone,101300,0.3,-1.2846,630.0969,1.2032,-400.547,65.43207454,-6729.8,-8.179,5.30E-06,2,46.43407454,-5355.3,-5.2106,1.24E-14,5
toluene,ethyl-formate,0,98,toluene,ethyl-formate,101300,0.3,0,58.2153,0,108.9655,65.43207454,-6729.8,-8.179,5.30E-06,2,62.32007454,-5817,-7.809,6.32E-06,2
toluene,methyl-acetate,0,99,toluene,methyl-acetate,101300,0.3,14.4725,-4470.334,-9.4251,3035.4885,65.43207454,-6729.8,-8.179,5.30E-06,2,49.75407454,-5618.6,-5.6473,2.11E-17,6
toluene,ethyl-acetate,0,100,toluene,ethyl-acetate,101300,0.3,0.2979,-160.3095,-3.554,1438.454,65.43207454,-6729.8,-8.179,5.30E-06,2,55.31107454,-6227.6,-6.41,1.79E-17,6
acetone,ethyl-formate,0,101,acetone,ethyl-formate,101300,0.3,0,-42.2705,0,44.3013,46.43407454,-5355.3,-5.2106,1.24E-14,5,62.32007454,-5817,-7.809,6.32E-06,2
acetone,methyl-acetate,1,102,acetone,methyl-acetate,101300,0.3,1.4101,-592.968,-1.9348,835.8091,46.43407454,-5355.3,-5.2106,1.24E-14,5,49.75407454,-5618.6,-5.6473,2.11E-17,6
acetone,ethyl-acetate,0,103,acetone,ethyl-acetate,101300,0.3,0,109.15,0,-42.7758,46.43407454,-5355.3,-5.2106,1.24E-14,5,55.31107454,-6227.6,-6.41,1.79E-17,6
acetone,ethylene-glycol,0,104,acetone,ethylene-glycol,101300,0.3,0,386.7343,0,236.8483,46.43407454,-5355.3,-5.2106,1.24E-14,5,80.08107454,-10811,-9.2821,3.02E-18,6
ethyl-formate,methyl-acetate,0,105,ethyl-formate,methyl-acetate,101300,0.3,0,-168.2019,0,200.2931,62.32007454,-5817,-7.809,6.32E-06,2,49.75407454,-5618.6,-5.6473,2.11E-17,6
methyl-acetate,ethyl-acetate,0,106,methyl-acetate,ethyl-acetate,101300,0.3,-5.258,2028.1835,0.9393,-501.696,49.75407454,-5618.6,-5.6473,2.11E-17,6,55.31107454,-6227.6,-6.41,1.79E-17,6
ethyl-acetate,ethylene-glycol,0,107,ethyl-acetate,ethylene-glycol,101300,0.47,8.3801,-2077.7085,-1.2614,1272.3394,55.31107454,-6227.6,-6.41,1.79E-17,6,80.08107454,-10811,-9.2821,3.02E-18,6
ethyl-acetate,12-propanediol,0,108,ethyl-acetate,12-propanediol,101300,0.3,-1.8736,1067.103,0.005,216.8658,55.31107454,-6227.6,-6.41,1.79E-17,6,123.9770745,-12483,-16.019,6.46E-06,2
ethylene-glycol,12-propanediol,0,109,ethylene-glycol,12-propanediol,101300,0.3,-0.4333,-136.4399,-1.2764,995.3802,80.08107454,-10811,-9.2821,3.02E-18,6,123.9770745,-12483,-16.019,6.46E-06,2
ethanol,cyclohexane,1,110,ethanol,cyclohexane,101300,0.45,-0.156,459.8772,1.6271,214.0758,61.79107454,-7122.3,-7.1424,2.89E-06,2,39.57407454,-5226.4,-4.2278,9.76E-18,6
1-propanol,cyclohexane,1,111,1-propanol,cyclohexane,101300,0.3,-4.1888,1490.1459,6.8277,-1548.2745,73.15107454,-8307.2,-8.5767,7.51E-18,6,39.57407454,-5226.4,-4.2278,9.76E-18,6
isopropanol,cyclohexane,1,112,isopropanol,cyclohexane,101300,0.3,0,105.7733,0,689.9346,99.20707454,-9040,-12.676,5.54E-06,2,39.57407454,-5226.4,-4.2278,9.76E-18,6
n-butanol,cyclohexane,1,113,n-butanol,cyclohexane,101300,0.3,-0.2005,101.4671,-0.5887,892.591,94.77707454,-9866.4,-11.655,1.08E-17,6,39.57407454,-5226.4,-4.2278,9.76E-18,6
2-butanol,cyclohexane,1,114,2-butanol,cyclohexane,101300,0.3,-5.9296,2154.7627,13.3544,-4039.7212,111.0370745,-10236,-14.125,2.36E-17,6,39.57407454,-5226.4,-4.2278,9.76E-18,6
isobutanol,cyclohexane,1,115,isobutanol,cyclohexane,101300,0.3,0,181.3914,0,446.5138,110.2670745,-10504,-13.921,1.69E-17,6,39.57407454,-5226.4,-4.2278,9.76E-18,6
tert-butanol,cyclohexane,1,116,tert-butanol,cyclohexane,101300,0.47,-1.3739,559.5207,1.0691,245.1068,160.7570745,-11589,-22.113,1.37E-05,2,39.57407454,-5226.4,-4.2278,9.76E-18,6
